Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Amen Thompson (40675965),Amen Thompson,40675965,PG/G/UTIL,7700,HOU@MEM 11/05/2025 08:00PM ET,HOU,33.71
C,Joel Embiid (40675968),Joel Embiid,40675968,C/UTIL,7600,PHI@CLE 11/05/2025 07:00PM ET,PHI,33.95
PG,Derrick White (40675973),Derrick White,40675973,PG/G/UTIL,7500,WAS@BOS 11/05/2025 07:30PM ET,BOS,31.62
SG,VJ Edgecombe (40675970),VJ Edgecombe,40675970,SG/G/UTIL,7500,PHI@CLE 11/05/2025 07:00PM ET,PHI,37.96
PF,Paul George (40675976),Paul George,40675976,PF/F/UTIL,7400,PHI@CLE 11/05/2025 07:00PM ET,PHI,0
C,Jalen Duren (40675979),Jalen Duren,40675979,C/UTIL,7200,UTA@DET 11/05/2025 07:00PM ET,DET,35.68
PG/SG,Keyonte George (40675981),Keyonte George,40675981,PG/SG/G/UTIL,7100,UTA@DET 11/05/2025 07:00PM ET,UTA,42.29
SG,Cam Thomas (40675985),Cam Thomas,40675985,SG/G/UTIL,7100,BKN@IND 11/05/2025 07:00PM ET,BKN,32.11
SF,PJ Washington (40675988),PJ Washington,40675988,SF/F/UTIL,7000,NOP@DAL 11/05/2025 08:30PM ET,DAL,34.14
SG,Trey Murphy III (40675994),Trey Murphy III,40675994,SG/G/UTIL,6900,NOP@DAL 11/05/2025 08:30PM ET,NOP,31.93
SG,Norman Powell (40675997),Norman Powell,40675997,SG/G/UTIL,6900,MIA@DEN 11/05/2025 09:00PM ET,MIA,38.88
PF,Michael Porter Jr. (40675991),Michael Porter Jr.,40675991,PF/F/UTIL,6900,BKN@IND 11/05/2025 07:00PM ET,BKN,37.67
SG,Kyshawn George (40676002),Kyshawn George,40676002,SG/G/UTIL,6800,WAS@BOS 11/05/2025 07:30PM ET,WAS,38.21
PG,Cooper Flagg (40676005),Cooper Flagg,40676005,PG/G/UTIL,6800,NOP@DAL 11/05/2025 08:30PM ET,DAL,28.21
C,Walker Kessler (40676000),Walker Kessler,40676000,C/UTIL,6800,UTA@DET 11/05/2025 07:00PM ET,UTA,38.4
C,Alexandre Sarr (40676008),Alexandre Sarr,40676008,C/UTIL,6700,WAS@BOS 11/05/2025 07:30PM ET,WAS,39.25
C,Rudy Gobert (40676010),Rudy Gobert,40676010,C/UTIL,6700,MIN@NYK 11/05/2025 07:30PM ET,MIN,28.82
PG/SG,Payton Pritchard (40676018),Payton Pritchard,40676018,PG/SG/G/UTIL,6600,WAS@BOS 11/05/2025 07:30PM ET,BOS,31.06
PG,Donte DiVincenzo (40676012),Donte DiVincenzo,40676012,PG/G/UTIL,6600,MIN@NYK 11/05/2025 07:30PM ET,MIN,29.68
SF,OG Anunoby (40676015),OG Anunoby,40676015,SF/F/UTIL,6600,MIN@NYK 11/05/2025 07:30PM ET,NYK,35.21
SF,De'Andre Hunter (40676025),De'Andre Hunter,40676025,SF/F/UTIL,6500,PHI@CLE 11/05/2025 07:00PM ET,CLE,32.2
PF,Andrew Wiggins (40676028),Andrew Wiggins,40676028,PF/F/UTIL,6500,MIA@DEN 11/05/2025 09:00PM ET,MIA,29.25
SG,Mikal Bridges (40676022),Mikal Bridges,40676022,SG/G/UTIL,6500,MIN@NYK 11/05/2025 07:30PM ET,NYK,36.86
PG/SG,Quentin Grimes (40676031),Quentin Grimes,40676031,PG/SG/G/UTIL,6400,PHI@CLE 11/05/2025 07:00PM ET,PHI,33.75
SF,Jaden McDaniels (40676035),Jaden McDaniels,40676035,SF/F/UTIL,6400,MIN@NYK 11/05/2025 07:30PM ET,MIN,31.32
SF,Kelly Oubre Jr. (40676038),Kelly Oubre Jr.,40676038,SF/F/UTIL,6300,PHI@CLE 11/05/2025 07:00PM ET,PHI,34.11
PG/SG,Jordan Poole (40676044),Jordan Poole,40676044,PG/SG/G/UTIL,6300,NOP@DAL 11/05/2025 08:30PM ET,NOP,26.07
SF,Ausar Thompson (40676041),Ausar Thompson,40676041,SF/F/UTIL,6300,UTA@DET 11/05/2025 07:00PM ET,DET,31.14
PF/C,Santi Aldama (40676048),Santi Aldama,40676048,PF/C/F/UTIL,6300,HOU@MEM 11/05/2025 08:00PM ET,MEM,26.66
SG,Bennedict Mathurin (40676052),Bennedict Mathurin,40676052,SG/G/UTIL,6200,BKN@IND 11/05/2025 07:00PM ET,IND,44.25
PG,Andrew Nembhard (40676055),Andrew Nembhard,40676055,PG/G/UTIL,6200,BKN@IND 11/05/2025 07:00PM ET,IND,10.25
